rank_setor,codigo_base,nome,valor_total,quantidade_total
1,947859703,"TOALHA BANHO 70X1,40",644.57,43
1,936238193,GARRAFA TERM 800ML,1043.36,43
1,923233034,"LIP GLOSS 4,2ML S6727",1304.56,44
1,935697494,ENFEITE MUSICAL,327.96,4
1,940927062,"PAN PRESSAO 2,5L POLIDA",455.92,8
1,921454199,NECESSAIRE 3EM1SUMMER CATS,838.5600000000001,24
1,965647567,ANEL FEMININO,536.13,77
1,922961205,BOLSA PELUCIA LANTEJOU,467.85,15
1,940927068,"PAN PRESSAO 4,5L PRETA",339.96,4
1,123456789,BOLSA FEMININA,2042.77,23
1,965036762,ARVORE DECORADA,1360.99,1
1,920241640,SINO DOS VENTOS OLHO GREGO,847.98,37
2,912262909,CHOCOT BAUDUCCO,730.3,30
2,920241640,SINO DOS VENTOS OLHO GREGO,699.12,28
2,910807593,PERF WILD GIRL 30ML,447.11,9
2,934572608,SACO DE PRESENTES,279.07,43
2,2281328,CAPA SOFA 2/3 LUG KING,629.87,13
2,965036779,ARVORE DECORADA,1193.91,1
2,946968657,"TOALHA 70X1,40CM",629.58,42
2,938829130,FESTAO 7CM LUXO,287.64,36
2,123456789,BOLSA FEMININA,449.95,5
2,935697458,BOLA LISA PEROLADA,269.84999999999997,15
2,925933104,"FEIRINHA BRINQ R$7,99 S/TROCA",894,120
2,912262909,CHOCOT BAUDUCCO,2028.48,83
3,123456789,BOLSA FEMININA,530.9399999999999,6
3,940927068,"PAN PRESSAO 4,5L PRETA",416.45,5
3,814230712,BOLSA TERMICA GX-400097,695.21,19
3,936675015,PAPAI NOEL XADREZ LAMP,268.21,4
3,920123805,PANETTONE FRUTAS BAUD,1120.1499999999999,45
3,935697494,ENFEITE MUSICAL,245.96999999999997,3
3,940927059,"PANELA PRESSAO 4,5L",600.3199999999999,8
3,935697476,BOLA MISTA DR,239.95000000000002,5
3,940927065,"PAN PRESSAO 2,5L PRETA",275.96,4
3,56892371,BOLSA DE TECIDO,538.7299999999999,27
3,814230712,BOLSA TERMICA GX-400097,564.15,15
3,921454161,MOCHILA INF LF100-04,596.1800000000001,19
